"especie","key"
"Lonchorhina aurita",2433215
"Lontra longicaudis",2433738
"Lophostoma brasiliense",5706814
"Marmosa murina",2439873
"Marmosa paraguayana",8565768
"Marmosops incanus",2439953
"Marmosops paulensis",2439948
"Marmosops sp.",0
"Mazama americana",5220123
"Mazama bororo",5706281
"Mazama gouazoubira",7261375
"Mazama sp.",0
"Metachirus nudicaudatus",9224350
"Metachirus sp.",0
"Micoureus demerarae",2439898
"Micoureus paraguayanus",2439895
"Micronycteris hirsuta",2433287
"Micronycteris megalotis",2433289
"Micronycteris minuta",2433286
"Mimon bennettii",2433309
"Mimon crenulatum",2433310
"Molossus molossus",5218725
"Molossus rufus",5707248
"Molossus sp.",0
"Monodelphis americana",2439970
"Monodelphis scalops",2439974
"Monodelphis sp.",0
"Mus musculus",7429082
"Myotis nigricans",2432448
"Não_identificada",0
"Nasua nasua",2433536
"Natalus stramineus",2432756
"Necromys lasiurus",4265142
"Necromys sp.",0
"Nectomys squamipes",5219856
"Noctilio leporinus",2433343
"Nyctinomops laticaudatus",2433063
"Oecomys catherinae",4265023
"Oecomys sp.",0
"Oecomys trinitatis",2439310
"Oligoryzomys nigripes",2438273
"Oligoryzomys sp.",0
"Oryzomys sp.",0
"Oxymycterus hispidus",2438935
"Oxymycterus sp.",0
"Panthera onca",5219426
"Peropteryx kappleri",2433142
"Peropteryx macrotis",2433140
"Peropteryx sp.",0
"Philander frenatus",5219949
"Phyllomys pattoni",4262927
"Phyllomys sp.",0
"Phyllostomus discolor",2433280
"Phyllostomus elongatus",2433281
"Phyllostomus hastatus",2433279
"Platyrrhinus lineatus",5218765
"Platyrrhinus recifinus",5218771
"Potos flavus",2433573
"Procyon cancrivorus",9518324
"Promops nasutus",2433024
"Pteronotus parnellii",5218620
"Puma concolor",2435099
"Puma yagouaroundi",2435146
"Pygoderma bilabiatum",2433255
"Rattus norvegicus",2439261
"Rattus rattus",2439270
"Rhagomys rufescens",2439151
"Rhinophylla pumilio",5218759
"Rhipidomys mastacalis",5219825
"Rhipidomys sp.",0
"Rhynchonycteris naso",2433095
"Saccopteryx bilineata",5218731
"Saccopteryx leptura",5218730
"Saccopteryx sp.",0
"Sciurus ingrami",0
"Sicista armenica",2439444
"Sooretamys angouya",5786884
"Sphiggurus insidiosus",2437606
"Sphiggurus sp.",0
"Sphiggurus villosus",2437604
"Sturnira lilium",2433327
"Sturnira tildae",2433334
"Sylvilagus brasiliensis",2436860
"Sylvilagus sp.",0
"Tadarida brasiliensis",2433011
"Tamandua tetradactyla",2436340
"Tayassu pecari",2440993
"Thaptomys nigrita",4265133
"Thaptomys sp.",0
"Tonatia bidens",2433203
"Tonatia silvicola",5706810
"Tonatia sp.",0
"Trachops cirrhosus",2433300
"Trinomys gratiosus",4262942
"Trinomys iheringi",4262953
"Trinomys panema",0
"Trinomys paratus",4262944
"Trinomys sp.",0
"Uroderma bilobatum",2433156
"Uroderma magnirostrum",2433155
"Vampyressa pusilla",2433186
"Vampyrum spectrum",2433341
